AP	GPCR	Enzyme	Ionchannel	Malaria	Drug	SW	Nanet	Movie100k
GAE	93.51±4.13	97.19±1.27	96.93±1.85	94.07±1.76	94.97±3.17	89.23±8.54	93.57±0.72	87.69±0.38	
GAE-ND	92.09±3.95	97.55±1.09	98.12±1.18	96.33±1.15	96.53±2.75	91.8±6.37	96.04±0.84	95.56±1.56	
VGAE	92.3±3.36	97.12±2.06	97.18±1.56	94.33±1.01	94.01±5.33	77.46±14.43	94.72±0.96	86.82±0.58	
VGAE-ND	90.72±5.26	98.02±0.97	97.58±1.65	85.1±2.14	95.12±4.34	65.75±11.47	94.82±0.71	95.84±0.49	
LGAE	92.65±4.96	95.49±1.94	98.25±1.03	93.13±1.61	96.64±2.46	90.17±10.47	77.61±2.07	72.98±0.82	
LGAE-ND	96.39±2.42	98.9±0.69	98.93±0.72	98.15±1.12	97.64±1.28	89.4±10.67	96.74±0.53	97.7±0.48	
SAGE	94.89±1.9	98.59±0.35	97.57±1.05	96.29±1.23	91.67±4.55	84.38±9.52	97.54±0.42	98.16±0.08	
SAGE-ND	93.87±5.83	98.68±0.82	97.43±0.92	97.41±0.98	96.66±3.07	85.6±6.59	97.86±0.43	98.59±0.06	
ARGA	92.37±3.69	96.15±1.01	97.48±1.79	95.54±1.61	94.58±4.63	85.66±9.18	94.38±1.27	87.84±0.55	
ARGA-ND	92.26±4.79	97.15±1.54	97.48±1.02	96.65±1.4	95.23±4.8	81.9±13.67	96.24±0.77	92.01±14.78	
ARVGA	93.34±3.1	97.76±0.78	97.93±1.06	94.98±1.03	93.01±5.18	92.16±6.72	94.19±1.31	87.1±0.28	
ARVGA-ND	91.99±4.39	98.54±0.47	98.3±0.67	84.73±3.75	96.0±2.95	63.75±14.5	94.33±0.75	96.01±0.45	
LRGA	67.14±5.31	66.66±2.3	74.29±5.56	70.41±3.34	63.17±3.32	62.82±10.32	62.8±2.66	97.53±0.33	
LRGA-ND	90.03±2.89	95.69±1.06	94.1±1.45	90.03±1.66	94.98±4.09	76.3±13.6	93.5±0.72	97.95±0.1	
