AUC	GPCR	Enzyme	Ionchannel	Malaria	Drug	SW	Nanet	Movie100k
GAE	95.78±1.94	97.94±0.79	97.96±0.56	96.02±0.87	94.95±2.85	90.0±6.17	94.88±0.54	90.07±0.28	
GAE-ND	93.95±2.11	98.23±0.58	98.76±0.59	97.22±0.64	97.36±2.15	92.34±6.81	96.42±0.47	96.7±0.89	
VGAE	92.84±2.44	97.5±1.06	97.69±0.95	96.11±0.62	94.89±3.15	80.31±14.23	95.67±0.6	89.69±0.43	
VGAE-ND	92.61±3.45	98.22±0.51	98.03±0.71	88.31±1.58	95.32±2.3	61.25±14.52	94.97±0.65	96.86±0.31	
LGAE	95.5±2.29	97.7±0.57	98.45±0.64	94.61±0.73	96.97±1.97	89.84±9.67	85.91±1.21	80.04±0.59	
LGAE-ND	96.97±1.49	98.87±0.3	98.97±0.61	98.4±0.6	96.22±2.01	89.38±9.54	96.65±0.62	98.0±0.34	
SAGE	95.4±1.43	98.78±0.31	97.89±0.66	96.81±0.83	91.29±2.3	84.38±8.65	97.51±0.28	98.25±0.07	
SAGE-ND	95.48±2.74	98.88±0.48	97.63±0.82	97.45±0.79	96.56±2.85	85.47±5.42	98.03±0.48	98.66±0.05	
ARGA	94.57±1.86	96.98±1.04	98.08±0.64	96.64±0.9	94.4±3.53	85.0±9.06	95.31±0.66	90.21±0.47	
ARGA-ND	95.01±2.31	97.97±0.7	98.01±0.72	97.48±0.83	96.14±3.14	81.41±12.57	96.58±0.45	92.65±14.99	
ARVGA	94.0±2.77	98.39±0.51	98.25±0.79	96.52±0.87	95.53±2.49	91.48±4.21	95.46±0.62	89.79±0.29	
ARVGA-ND	93.82±3.12	98.34±0.5	98.34±0.66	88.17±3.08	96.32±2.3	60.0±21.16	94.41±0.75	96.94±0.26	
LRGA	71.0±4.1	74.66±2.69	81.22±3.4	77.38±3.11	70.44±4.26	64.69±13.94	70.14±3.56	97.67±0.21	
LRGA-ND	90.83±1.69	96.19±0.55	94.34±1.76	91.09±1.33	95.33±3.15	72.34±11.52	93.65±0.64	98.02±0.08	
