GAE	94.84+0.57	95.96+0.42	74.9+2.6	82.51+1.8	85.5+1.91	
GAE-ND	93.85+0.71	95.16+0.4	73.4+3.74	79.19+1.45	81.88+1.29	
VGAE	94.98+0.69	95.91+0.59	73.53+5.06	80.84+3.35	84.88+1.78	
VGAE-ND	92.83+0.59	94.1+0.48	64.0+3.54	70.45+4.09	75.74+2.24	
LGAE	95.33+0.44	96.17+0.44	76.21+3.57	82.87+2.53	85.72+1.68	
LGAE-ND	95.13+0.57	95.85+0.8	73.34+4.99	81.43+2.51	85.33+2.87	
SAGE	90.08+0.95	90.91+0.73	50.38+2.88	55.44+3.02	60.38+1.93	
SAGE-ND	86.15+0.75	88.24+0.7	48.44+3.1	54.15+2.37	56.81+2.57	
ARGA	94.34+0.55	95.68+0.52	76.06+3.71	82.59+2.25	84.65+2.05	
ARGA-ND	94.11+0.71	94.87+0.88	74.58+2.72	79.06+3.77	82.23+2.25	
ARVGA	94.51+0.93	95.78+0.57	75.91+4.87	81.69+2.69	85.08+2.14	
ARVGA-ND	92.51+0.71	93.71+0.43	64.39+5.11	71.63+2.74	74.92+2.47	
LRGA	91.37+1.58	92.17+1.95	50.06+27.95	75.14+3.67	80.17+2.65	
LRGA-ND	93.08+0.84	94.72+0.55	72.55+3.06	78.09+2.0	80.75+2.66	
