GAE	95.93+0.44	96.5+0.39	68.79+4.84	75.89+3.92	81.07+3.09	
GAE-ND	95.34+1.03	96.07+0.7	70.22+4.79	78.18+4.58	81.61+3.3	
VGAE	96.05+0.37	96.45+0.32	68.43+3.53	77.61+3.46	81.68+2.42	
VGAE-ND	94.16+0.77	95.06+0.58	66.01+4.93	74.75+3.44	78.67+2.79	
LGAE	96.58+0.42	96.94+0.46	68.65+9.33	79.85+4.4	84.79+3.02	
LGAE-ND	96.71+0.56	97.05+0.48	74.29+3.85	81.67+2.11	85.91+1.56	
SAGE	94.27+0.96	94.99+0.77	64.26+5.21	75.45+3.91	79.06+3.71	
SAGE-ND	95.5+0.73	96.1+0.61	68.22+3.33	75.48+1.11	79.21+1.57	
ARGA	94.37+0.73	95.06+0.61	64.01+5.01	72.74+3.76	77.71+2.53	
ARGA-ND	93.83+1.06	95.2+0.74	71.89+5.79	77.29+4.28	79.79+4.22	
ARVGA	95.99+0.65	96.39+0.55	69.68+5.14	77.24+4.71	81.56+3.7	
ARVGA-ND	94.42+0.85	95.2+0.86	65.89+4.78	74.79+3.16	77.13+3.17	
LRGA	93.79+1.06	94.63+0.93	58.36+6.88	68.66+4.42	75.02+3.87	
LRGA-ND	94.73+0.56	95.35+0.48	64.67+6.31	74.55+3.24	78.92+3.15	
