GAE	97.41+0.08	97.7+0.09	42.57+4.52	56.99+3.48	64.65+2.69	
GAE-ND	96.78+0.31	97.18+0.16	49.98+3.03	62.14+2.06	67.57+1.35	
VGAE	96.87+0.12	97.41+0.13	45.42+5.03	58.45+3.51	66.31+3.35	
VGAE-ND	96.62+0.45	96.93+0.39	45.69+6.98	56.12+4.6	62.76+3.73	
LGAE	97.32+0.11	97.57+0.14	39.26+4.43	54.99+4.38	63.17+4.43	
LGAE-ND	98.25+0.11	98.31+0.12	42.72+7.15	61.58+6.18	69.81+2.3	
SAGE	91.29+0.4	92.37+0.23	30.49+3.23	43.97+2.62	49.62+3.31	
SAGE-ND	94.64+0.68	95.0+0.49	41.92+1.65	51.53+2.34	55.88+1.45	
ARGA	96.97+0.18	97.19+0.17	36.89+3.95	48.63+3.47	58.09+2.62	
ARGA-ND	97.59+0.4	97.75+0.35	48.85+5.41	61.41+3.54	66.7+4.28	
ARVGA	96.99+0.15	97.37+0.18	43.84+4.76	57.66+5.14	65.96+4.09	
ARVGA-ND	97.21+0.29	97.33+0.28	43.6+5.63	55.39+2.68	61.78+1.84	
LRGA	96.61+0.4	96.89+0.35	29.35+9.11	47.64+5.44	56.78+4.17	
LRGA-ND	97.28+0.17	97.17+0.19	46.32+5.41	57.81+2.43	62.06+2.81	
