GAE	98.47+0.11	98.57+0.08	52.37+7.03	64.5+4.85	72.36+2.09	
GAE-ND	97.88+0.25	98.18+0.23	64.2+6.86	73.81+3.76	78.67+2.33	
VGAE	98.51+0.12	98.64+0.1	52.83+3.91	66.17+2.51	73.39+2.52	
VGAE-ND	97.22+0.15	97.78+0.18	60.38+6.03	70.66+3.57	75.76+2.39	
LGAE	98.73+0.12	98.83+0.11	55.5+8.86	69.2+3.51	75.3+3.7	
LGAE-ND	98.57+0.13	98.78+0.14	67.17+4.51	78.25+2.62	81.7+2.4	
SAGE	97.11+0.14	97.42+0.13	45.21+6.99	57.8+5.59	66.46+3.66	
SAGE-ND	96.94+0.31	97.51+0.2	55.43+6.41	66.72+2.55	72.72+2.26	
ARGA	98.11+0.12	98.28+0.13	55.73+5.81	67.46+2.76	73.71+2.67	
ARGA-ND	97.95+0.26	98.21+0.2	63.19+4.01	73.94+2.43	78.26+2.27	
ARVGA	98.34+0.13	98.5+0.15	52.92+6.59	66.95+4.07	73.77+2.25	
ARVGA-ND	97.69+0.31	97.97+0.28	59.75+8.32	70.97+2.95	75.75+2.75	
LRGA	97.15+0.53	97.31+0.45	29.33+7.38	50.24+7.4	57.35+5.62	
LRGA-ND	98.04+0.11	98.25+0.1	64.52+4.31	72.43+2.18	76.84+1.92	
