GAE	97.41+0.08	97.7+0.09	42.57+4.52	56.99+3.48	64.65+2.69	
-ND	-0.63(-0.65%)	-0.52(-0.53%)	+7.41(+17.41%)	+5.15(+9.04%)	+2.92(+4.52%)	
VGAE	96.87+0.12	97.41+0.13	45.42+5.03	58.45+3.51	66.31+3.35	
-ND	-0.25(-0.26%)	-0.48(-0.49%)	+0.27(+0.59%)	-2.33(-3.99%)	-3.55(-5.35%)	
LGAE	97.32+0.11	97.57+0.14	39.26+4.43	54.99+4.38	63.17+4.43	
-ND	+0.93(+0.96%)	+0.74(+0.76%)	+3.46(+8.81%)	+6.59(+11.98%)	+6.64(+10.51%)	
SAGE	91.29+0.4	92.37+0.23	30.49+3.23	43.97+2.62	49.62+3.31	
-ND	+3.35(+3.67%)	+2.63(+2.85%)	+11.43(+37.49%)	+7.56(+17.19%)	+6.26(+12.62%)	
ARGA	96.97+0.18	97.19+0.17	36.89+3.95	48.63+3.47	58.09+2.62	
-ND	+0.62(+0.64%)	+0.56(+0.58%)	+11.96(+32.42%)	+12.78(+26.28%)	+8.61(+14.82%)	
ARVGA	96.99+0.15	97.37+0.18	43.84+4.76	57.66+5.14	65.96+4.09	
-ND	+0.22(+0.23%)	-0.04(-0.04%)	-0.24(-0.55%)	-2.27(-3.94%)	-4.18(-6.34%)	
LRGA	96.61+0.4	96.89+0.35	29.35+9.11	47.64+5.44	56.78+4.17	
-ND	+0.67(+0.69%)	+0.28(+0.29%)	+16.97(+57.82%)	+10.17(+21.35%)	+5.28(+9.3%)	
Average	+0.7(+0.75%)	+0.45(+0.49%)	+7.32(+22.0%)	+5.38(+11.13%)	+3.14(+5.73%)	
